title,author,type,category,source_url,description,date,priority
The Greatest Paper Map of the United States You’ll Ever See,Seth Stevenson,Article,Visualization,http://www.slate.com/articles/arts/culturebox/2012/01/the_best_american_wall_map_david_imus_the_essential_geography_of_the_united_states_of_america_.html,A case for where hand-editing has advantages over algorithmic rendering.,,
The Map That Lincoln Used to See the Reach of Slavery,,,,http://www.slate.com/blogs/the_vault/2013/09/04/abraham_lincoln_the_president_used_this_map_to_see_where_slavery_was_strongest.html,,,
People Power Prevails!,John Keefe,Article,Curation,http://source.mozillaopennews.org/en-US/learning/people-power-prevails/,,,8
Cicada Tracker,WNYC and Radiolab,Guide,Curation,http://project.wnyc.org/cicadas/,,,10
GIS Analyses of Dr. Snow's Map        ,John Mackenzie ,Guide,Visualization,http://www.udel.edu/johnmack/frec480/cholera/cholera2.html,,,
Mapping Chicago’s shooting victims,Andy Boyle,Guide,Visualization,http://blog.apps.chicagotribune.com/2013/07/15/mapping-chicagos-shooting-victims/,,,
"Proto-analysis of Boston Globe Traffic on Facebook",Sonya Song,Article,Analysis,http://sonya2song.blogspot.com/2013/07/proto-analysis-of-boston-globe-traffic.html,,,
Under the Hood of the Open Gender Tracker,Irene Ros and Nathan Matias ,Article,Curation,http://source.mozillaopennews.org/en-US/articles/under-hood-open-gender-tracker/,,,
Creating a Metric for News Apps,Brian Abelson,Article,Analysis,http://brianabelson.com/open-news/2013/03/18/A-Metric-For-News-Apps.html,,,
Matching Methods for Causal Inference,Elizabeth A. Stuart,Guide,Analysis,http://biostat.jhsph.edu/~estuart/Stuart10.StatSci.pdf,,,
Style and Substance: Analyzing a Beach Ball Chart,Joe Germuska,Article,Visualization,http://blog.apps.chicagotribune.com/2012/02/07/style-and-substance-analyzing-a-beach-ball-chart/,,,
Better web cartography with dot density maps and new tools,Christopher Groskopf,Guide,Visualization,http://blog.apps.chicagotribune.com/2011/08/12/better-web-cartography-with-dot-density-maps-and-new-tools/,,,
How Not to Lie with Statistics: Avoiding Common Mistakes in Quantitative Political Science,Gary King,Guide,Analysis,http://dash.harvard.edu/bitstream/handle/1/4455012/not%20lie%20stat.pdf?sequence=1,,,
How we identified America's 50 worst charities,Kendall Taggart and Kris Hundley,Article,Reporting,http://www.tampabay.com/news/business/how-we-identified-americas-50-worst-charities/2124085,,,
"Example story memos and assessments for class on ""Real-Time Data; Using APIs""
",Derek Willis,Guide,Reporting,http://dwillis.github.io/data-reporting/apr25.html,,,
"Analyzing the Analyzers: An Introspective Survey of Data Scientists and Their Work","Harlan Harris, Sean Murphy, Marck Vaisman",Book,Analysis,http://oreilly.com/data/stratareports/analyzing-the-analyzers.csp?intcmp=il-strata-ebooks-analyzing-the-analyzers-strata-right-rail,,,
Drawing Conclusions from Data,Jonathan Stray,Article,Analysis,http://source.mozillaopennews.org/en-US/learning/statistically-sound-data-journalism/,,,
Making the WNYC Census Map,John Keefe,Guide,Visualization,http://johnkeefe.net/47474697,,,
"Months after West blast, a report highlights what we don’t know about chemical safety
",Richard Parker,Article,Reporting,http://www.cjr.org/united_states_project/laurel_dallas_morning_news_investigation_chemical_safety_data.php?page=all,,,
"Principles of Information Display for Visualization Practitioners
",Al Globus,Article,Visualization,http://www2.cs.uregina.ca/~rbm/cs100/notes/spreadsheets/tufte_paper.html,,,
Small Multiples with Details on Demand,Jim Vallandingham,Guide,Visualization,http://vallandingham.me/small_multiples_with_details.html,,,
